Activity ID,Activity Name,Avg Cadence,Avg HR,Avg Stress,Calories,Date,Distance (km),Duration (min),Elevation Gain (m),End Stress,Max HR,Max Stress,Pace (min/km),Start Stress,Stress Diff,Type,VO2 Max,Z1 (min),Z2 (min),Z3 (min),Z4 (min),Z5 (min),_kafka_key,_kafka_partition,_kafka_offset,Speed (km/h)
21965542196,Honolulu - W01D1-Easy Run,98,96,,249,2026-02-23,3.46,41.47,49.4,,119,,11.99,,,running,,9.2,0,0,0,0,running,0,0,5.01
21954265312,Honolulu Walking,87.796875,128,,163,2026-02-22,1.99,21.54,33,,147,,10.84,,,walking,43,7.32,13.87,0.35,0,0,walking,0,1,5.54
21943859743,Coherence,0,94,70,0,2026-02-21,0,15.57,0,60,107,83,0,83,-23,breathwork,,0.91,0,0,0,0,breathwork,0,2,0.0
21943770023,Honolulu - Base,139.703125,150,,402,2026-02-21,5.11,44.79,56.8,,164,,8.77,,,running,43,1.35,6.13,37.28,0.02,0,running,0,3,6.85
21921828818,Honolulu - Base,136.171875,146,,328,2026-02-19,4.05,33.09,50.7,,160,,8.18,,,running,43,1.52,6.83,24.23,0,0,running,0,4,7.34
21892130373,Rucking the dog ,77.296875,114,,167,2026-02-16,1.98,26.06,31.7,,151,,13.17,,,walking,43,12.23,5.88,1.27,0,0,walking,0,5,4.56
21889719484,Honolulu - Hill sprints 10*15s,113.828125,144,,278,2026-02-16,3.17,28.72,64.7,,177,,9.06,,,running,,2.18,14.31,7.95,3.68,0,running,0,6,6.62
21880043348,Honolulu - Tempo,144.640625,158,,662,2026-02-15,8.13,60.74,88.4,,176,,7.47,,,running,43,0.97,7.39,20.37,31.68,0,running,0,7,8.03
21860487689,Honolulu - Long Run,129.9375,151,,636,2026-02-13,7.92,70.6,95.9,,168,,8.92,,,running,43,0.65,11.51,56.87,1.58,0,running,0,8,6.73
21829475018,Indoor Cycling,0,134,,251,2026-02-10,9.66,28.54,0,,168,,2.96,,,indoor_cycling,,2.27,24.41,1.42,0.43,0,indoor_cycling,0,9,20.31
21808906486,Honolulu - Base,141.28125,148,,504,2026-02-08,6.23,53,75.8,,163,,8.5,,,running,43,1.51,10.69,40.42,0,0,running,0,10,7.05
21755172774,Honolulu Multisport,0,0,,544,2026-02-03,4.45,80.45,75,,140,,18.07,,,multi_sport,,0,0,0,0,0,multi_sport,0,11,3.32
21734813204,Honolulu - Base,144.015625,144,,367,2026-02-01,4.52,35.19,50.8,,159,,7.79,,,running,43,1.48,12.8,20.47,0,0,running,0,12,7.71
21724351150,Honolulu Walking,76.734375,111,,126,2026-01-31,1.58,20.39,23.1,,130,,12.94,,,walking,43,15.27,1,0,0,0,walking,0,13,4.65
21694554359,Honolulu - Hill sprints 10*15s,135.390625,144,,320,2026-01-28,3.68,31.2,65.7,,177,,8.48,,,running,43,3.67,11.78,10.39,4.99,0,running,0,14,7.08
21683561200,Honolulu - Base,146.609375,149,,528,2026-01-27,6.4,49.14,55.1,,164,,7.67,,,running,43,1.54,7.78,39.38,0.12,0,running,0,15,7.81
21663871750,Honolulu - Base,145.34375,142,,292,2026-01-25,3.66,28.95,39.2,,157,,7.9,,,running,43,1.37,14.95,12.33,0,0,running,0,16,7.59
21652909277,Magic Island Biathlon (Run-Swim),0,0,,599,2026-01-24,5.72,45.79,8.7,,184,,8,,,multi_sport,,0,0,0,0,0,multi_sport,0,17,7.5
21613974412,Ka'ena Ruck ,51.734375,101,,910,2026-01-20,10.21,224.41,117.6,,134,,21.97,,,hiking,,91.88,4.7,0,0,0,hiking,0,18,2.73
21603388008,Honolulu Surfing,0,111,,270,2026-01-19,1.55,48.11,0,,164,,31.04,,,surfing_v2,,17.17,7.52,4.43,0.02,0,surfing_v2,0,19,1.93
21599892014,Morning Run with Michael,142.90625,153,,379,2026-01-19,4.55,35.23,49.5,,165,,7.74,,,running,42,1.26,3.35,29.85,0.58,0,running,0,20,7.75
21561680912,Maui County Open Water Swimming,0,91,,108,2026-01-15,0.66,26.36,0,,134,,39.67,,,open_water_swimming,,4.7,2.15,0,0,0,open_water_swimming,0,21,1.5
21551109690,Maui County Walking,35.578125,90,,129,2026-01-14,1.22,36.03,30.8,,122,,29.51,,,walking,42,5.13,0,0,0,0,walking,0,22,2.03
21549658299,Molokini Crater Open Water Swimming,0,97,,401,2026-01-14,1.44,95.11,0,,136,,66.24,,,open_water_swimming,,21.63,6.22,0,0,0,open_water_swimming,0,23,0.91
21540021296,Iao Valley Walking,25.1875,89,,182,2026-01-13,1.38,55.19,50.1,,119,,39.93,,,walking,,7.8,0,0,0,0,walking,0,24,1.5
21537704513,Olowalu Open Water Swimming,0,109,,314,2026-01-13,1.28,54.62,0,,154,,42.76,,,open_water_swimming,,25.19,6.68,1.72,0,0,open_water_swimming,0,25,1.41
21525046427,Honolulu - Base,140.640625,138,,281,2026-01-12,3.54,29.26,59.9,,153,,8.26,,,running,,2.11,24.88,2.05,0,0,running,0,26,7.26
21516398959,Honolulu - Base,135.21875,141,,559,2026-01-11,7.15,62.17,77.9,,181,,8.69,,,running,42,3.97,45.07,10.5,2.56,0,running,0,27,6.9
21496077788,Pool Swim,0,127,,369,2026-01-09,1.5,46.15,0,,165,,30.77,,,lap_swimming,,12.65,19.98,7.1,0.07,0,lap_swimming,0,28,1.95
21488467760,Honolulu Running,134,137,,262,2026-01-08,3.31,27.6,42.1,,155,,8.35,,,running,42,5.01,11.8,10.48,0,0,running,0,29,7.2
21434251879,Honolulu Walking,100.15625,108,,117,2026-01-03,1.7,20.25,17.6,,134,,11.91,,,walking,42,8.33,2.07,0,0,0,walking,0,30,5.04
21434251807,Pool Swim,0,120,,369,2026-01-03,1.42,54.05,0,,174,,38.14,,,lap_swimming,,20.68,22.05,1.2,0.67,0,lap_swimming,0,31,1.58
21434251737,Honolulu - Base,142.25,143,,392,2026-01-03,4.8,41.12,80.4,,162,,8.57,,,running,42,0.27,25.02,15.3,0,0,running,0,32,7.0
21426094176,Rucking the dog,78.171875,103,,130,2026-01-02,1.7,22.75,14.3,,132,,13.39,,,walking,42,8.37,0.3,0,0,0,walking,0,33,4.48
21424321581,Honolulu Surfing,0,138,,437,2026-01-02,2.52,53.87,0,,184,,21.34,,,surfing_v2,,10.97,26.83,12.1,3.42,0,surfing_v2,0,34,2.81
21416299565,Honolulu - Tempo,138.28125,151,,614,2026-01-01,7.6,56.49,94.8,,177,,7.43,,,running,42,8.06,13.81,11.23,22.88,0,running,0,35,8.07
21414652963,Rucking the dog,88.015625,114,,138,2026-01-01,1.75,20.6,23.6,,130,,11.75,,,walking,42,16.41,1.63,0,0,0,walking,0,36,5.1
21389032797,Honolulu - Recovery,121.6801653,128.2280992,,160,2025-12-29,2.21,20.17,22.8,,145,,9.14,,,running,,3.28,14.53,0,0,0,running,0,37,6.57
21386117584,Bus Stop Ruck ,104.46875,110,,126,2025-12-29,1.8,20.12,5.4,,126,,11.19,,,walking,42,12.85,1.22,0,0,0,walking,0,38,5.37
21378385279,Honolulu - Recovery,129.984375,134,,183,2025-12-28,2.34,20.58,16.1,,154,,8.78,,,running,,4.33,13.55,2.37,0,0,running,0,39,6.82
21367728357,Honolulu - Long Run,139.109375,136,,679,2025-12-27,8.8,78.15,87.1,,156,,8.88,,,running,42,5.32,55.08,16.37,0,0,running,0,40,6.76
21360386570,First Bike Back-at-it,0,119,,140,2025-12-26,4.98,20.83,46.6,,149,,4.18,,,cycling,,8.35,7.9,0.32,0,0,cycling,0,41,14.34
21359671668,Honolulu Walking,77.203125,101,,108,2025-12-26,1.54,21.66,5.3,,110,,14.08,,,walking,42,4.53,0,0,0,0,walking,0,42,4.27
21351304138,Electric Beach Snorkeling,0,106,,224,2025-12-25,0.65,42.79,0,,158,,65.45,,,open_water_swimming,,16.38,3.23,0.75,0,0,open_water_swimming,0,43,0.91
21350274135,Christmas Tempo,137.640625,161,,562,2025-12-25,6.89,51.46,63.1,,182,,7.46,,,running,42,1.08,9.87,17.71,22.57,0,running,0,44,8.03
21336777997,Honolulu - Base,135.328125,133,,298,2025-12-23,3.95,35.24,29.6,,146,,8.92,,,running,,4.3,30.5,0,0,0,running,0,45,6.73
21335541722,Pool Swim,0,126,,211,2025-12-23,0.8,25.97,0,,164,,32.47,,,lap_swimming,,8.02,12.26,2.08,0,0,lap_swimming,0,46,1.85
21327915141,Ruck back from pool,92.328125,112,,118,2025-12-22,1.72,22.18,1.1,,121,,12.89,,,walking,41,21.63,0,0,0,0,walking,0,47,4.65
21327829608,Week-of-slow Pool Swim ,0,125,,258,2025-12-22,1.01,33.45,0,,143,,33.26,,,lap_swimming,,12.02,19.82,0,0,0,lap_swimming,0,48,1.81
21327695436,Honolulu Walking,96.09375,114,,132,2025-12-22,1.7,20.24,38.9,,126,,11.87,,,walking,41,19.45,0.12,0,0,0,walking,0,49,5.04
21986918741,W01D3-Easy Bike,0,113,,218,2026-02-25,0,40.94,0,,126,,0,,,indoor_cycling,,36.61,0.43,0,0,0,indoor_cycling,0,50,0.0
21994869910,Honolulu Running,130.28125,161,,242,2026-02-26,3.01,21.04,5.7,,184,,6.99,,,running,44,1.21,3.95,4.24,11.56,0,running,0,51,8.58
22028723901,King's Runner 10k ,155.28125,171,,863,2026-03-01,10.13,64.99,24.4,,192,,6.41,,,running,44,0,0.37,0.92,62.71,0.98,running,0,52,9.35
22108968518,Honolulu Running,137.734375,146,,384,2026-03-08,4.92,44.93,60.1,,163,,9.13,,,running,43,0.7,12.37,31.67,0.2,0,running,0,53,6.57
22176695128,Honolulu - W03D6-Build Run,131.84375,127,,370,2026-03-14,4.81,45.53,52.1,,159,,9.47,,,running,43,16.7,23.48,4.88,0,0,running,0,54,6.34
22176485289,Honolulu Walking,62.765625,91,,112,2026-03-14,1.54,24.07,9.1,,121,,15.66,,,walking,44,2.23,0,0,0,0,walking,0,55,3.84
22187833030,Honolulu Running,141.203125,153,,625,2026-03-15,7.56,64.07,77.1,,165,,8.48,,,running,44,7.46,53.24,2.6,0,0,running,0,56,7.08
22198730094,Honolulu Walking,69.171875,100,,105,2026-03-16,1.42,18.93,16.4,,121,,13.36,,,walking,44,0,0,0,0,0,walking,0,57,4.5
22195720699,Honolulu - Hill sprints 10*15s,123.359375,143,,267,2026-03-16,2.79,27.4,43.2,,173,,9.82,,,running,,12.7,10.62,1.48,0,0,running,0,58,6.11
